Trace,Latitude,Longitude,Altitude
474,52.2254926,6.6932636,-0.03
475,52.2254925,6.6932637,-0.03
476,52.2254925,6.6932637,-0.03
477,52.2254925,6.6932637,-0.03
478,52.2254925,6.6932637,-0.03
479,52.2254925,6.6932637,-0.03
480,52.2254925,6.6932637,-0.03
481,52.2254925,6.6932637,-0.03
482,52.2254925,6.6932637,-0.03
483,52.2254925,6.6932637,-0.03
484,52.2254925,6.6932637,-0.03
485,52.2254925,6.6932637,-0.03
486,52.2254925,6.6932637,-0.03
487,52.2254925,6.6932637,-0.03
488,52.2254925,6.6932637,-0.03
489,52.2254925,6.6932637,-0.03
490,52.2254925,6.6932637,-0.03
491,52.2254925,6.6932637,-0.03
492,52.2254925,6.6932637,-0.03
493,52.2254925,6.6932637,-0.03
494,52.2254925,6.6932637,-0.03
495,52.2254925,6.6932637,-0.03
496,52.2254925,6.6932637,-0.03
497,52.2254925,6.6932636,-0.03
498,52.2254925,6.6932636,-0.03
499,52.2254925,6.6932636,-0.03
500,52.2254925,6.6932636,-0.03
501,52.2254925,6.6932636,-0.03
502,52.2254925,6.6932636,-0.03
503,52.2254925,6.6932636,-0.03
504,52.2254925,6.6932636,-0.03
505,52.2254925,6.6932636,-0.03
506,52.2254925,6.6932636,-0.03
507,52.2254924,6.6932638,-0.03
508,52.2254924,6.6932638,-0.03
509,52.2254924,6.6932638,-0.03
510,52.2254924,6.6932638,-0.03
511,52.2254924,6.6932638,-0.03
512,52.2254923,6.6932637,-0.03
513,52.2254923,6.6932637,-0.03
514,52.2254923,6.6932637,-0.03
515,52.2254923,6.6932637,-0.03
516,52.2254923,6.6932637,-0.03
517,52.2254923,6.6932637,-0.03
518,52.2254924,6.6932638,-0.03
519,52.2254924,6.6932638,-0.03
520,52.2254924,6.6932638,-0.03
521,52.2254924,6.6932638,-0.03
522,52.2254924,6.6932638,-0.03
523,52.2254924,6.6932638,-0.03
524,52.2254924,6.6932638,-0.03
525,52.2254924,6.6932638,-0.03
526,52.2254924,6.6932638,-0.03
527,52.2254924,6.6932638,-0.03
528,52.2254923,6.6932639,-0.03
529,52.2254923,6.6932639,-0.03
